scenario,dest,year,sex,edu,pop
benchmark,CZE,2050,f,6,1679415
benchmark,CZE,2050,m,1,15536
benchmark,CZE,2050,m,2,20192
benchmark,CZE,2050,m,3,32515
benchmark,CZE,2050,m,4,355348
benchmark,CZE,2050,m,5,2865948
benchmark,CZE,2050,m,6,1347510
benchmark,DEU,2015,f,1,5442893
benchmark,DEU,2015,f,2,148766
benchmark,DEU,2015,f,3,2796516
benchmark,DEU,2015,f,4,7321885
benchmark,DEU,2015,f,5,14747603
benchmark,DEU,2015,f,6,9556992
benchmark,DEU,2015,m,1,5743188
benchmark,DEU,2015,m,2,112039
benchmark,DEU,2015,m,3,2443538
benchmark,DEU,2015,m,4,4461843
benchmark,DEU,2015,m,5,15071490
benchmark,DEU,2015,m,6,10576605
benchmark,DEU,2020,f,1,3634869
benchmark,DEU,2020,f,2,128685
benchmark,DEU,2020,f,3,1923628
benchmark,DEU,2020,f,4,6887745
benchmark,DEU,2020,f,5,15701022
benchmark,DEU,2020,f,6,11509013
benchmark,DEU,2020,m,1,3828127
benchmark,DEU,2020,m,2,94602
benchmark,DEU,2020,m,3,1605349
benchmark,DEU,2020,m,4,4603307
benchmark,DEU,2020,m,5,16053473
benchmark,DEU,2020,m,6,12223149
benchmark,DEU,2025,f,1,1882224
benchmark,DEU,2025,f,2,119488
benchmark,DEU,2025,f,3,2149838
benchmark,DEU,2025,f,4,6295206
benchmark,DEU,2025,f,5,16218712
benchmark,DEU,2025,f,6,12883052
benchmark,DEU,2025,m,1,1969642
benchmark,DEU,2025,m,2,90237
benchmark,DEU,2025,m,3,1915304
benchmark,DEU,2025,m,4,4588238
benchmark,DEU,2025,m,5,16480863
benchmark,DEU,2025,m,6,13158616
benchmark,DEU,2030,f,1,149381
benchmark,DEU,2030,f,2,117309
benchmark,DEU,2030,f,3,2030686
benchmark,DEU,2030,f,4,5708039
benchmark,DEU,2030,f,5,16614232
benchmark,DEU,2030,f,6,14611913
benchmark,DEU,2030,m,1,132494
benchmark,DEU,2030,m,2,93238
benchmark,DEU,2030,m,3,1833235
benchmark,DEU,2030,m,4,4447599
benchmark,DEU,2030,m,5,16883680
benchmark,DEU,2030,m,6,14502645
benchmark,DEU,2035,f,1,129814
benchmark,DEU,2035,f,2,114225
benchmark,DEU,2035,f,3,1861595
benchmark,DEU,2035,f,4,5020658
benchmark,DEU,2035,f,5,16145709
benchmark,DEU,2035,f,6,15581905
benchmark,DEU,2035,m,1,104181
benchmark,DEU,2035,m,2,95290
benchmark,DEU,2035,m,3,1698478
benchmark,DEU,2035,m,4,4111073
benchmark,DEU,2035,m,5,16463342
benchmark,DEU,2035,m,6,15049630
benchmark,DEU,2040,f,1,150790
benchmark,DEU,2040,f,2,115068
benchmark,DEU,2040,f,3,1722607
benchmark,DEU,2040,f,4,4436829
benchmark,DEU,2040,f,5,15540577
benchmark,DEU,2040,f,6,16471858
benchmark,DEU,2040,m,1,118879
benchmark,DEU,2040,m,2,100864
benchmark,DEU,2040,m,3,1596151
benchmark,DEU,2040,m,4,3811762
benchmark,DEU,2040,m,5,15984583
benchmark,DEU,2040,m,6,15511759
benchmark,DEU,2045,f,1,170201
benchmark,DEU,2045,f,2,120218
benchmark,DEU,2045,f,3,1608517
benchmark,DEU,2045,f,4,3963105
benchmark,DEU,2045,f,5,14840689
benchmark,DEU,2045,f,6,17322067
benchmark,DEU,2045,m,1,131707
benchmark,DEU,2045,m,2,109602
benchmark,DEU,2045,m,3,1516780
benchmark,DEU,2045,m,4,3536361
