scenario,dest,year,nativity,pop
benchmark,MLT,2040,eu,32383
benchmark,MLT,2040,native,369131
benchmark,MLT,2040,non-eu,158741
benchmark,MLT,2045,eu,32736
benchmark,MLT,2045,native,364665
benchmark,MLT,2045,non-eu,198287
benchmark,MLT,2050,eu,32714
benchmark,MLT,2050,native,362548
benchmark,MLT,2050,non-eu,244002
benchmark,NLD,2015,eu,499865
benchmark,NLD,2015,native,14740855
benchmark,NLD,2015,non-eu,1240837
benchmark,NLD,2020,eu,503465
benchmark,NLD,2020,native,14910882
benchmark,NLD,2020,non-eu,1428203
benchmark,NLD,2025,eu,500852
benchmark,NLD,2025,native,15074768
benchmark,NLD,2025,non-eu,1639793
benchmark,NLD,2030,eu,490363
benchmark,NLD,2030,native,15248210
benchmark,NLD,2030,non-eu,1883969
benchmark,NLD,2035,eu,474637
benchmark,NLD,2035,native,15399121
benchmark,NLD,2035,non-eu,2155685
benchmark,NLD,2040,eu,454195
benchmark,NLD,2040,native,15522208
benchmark,NLD,2040,non-eu,2455400
benchmark,NLD,2045,eu,429932
benchmark,NLD,2045,native,15628601
benchmark,NLD,2045,non-eu,2793838
benchmark,NLD,2050,eu,402865
benchmark,NLD,2050,native,15749735
benchmark,NLD,2050,non-eu,3181099
benchmark,POL,2015,eu,206007
benchmark,POL,2015,native,36435407
benchmark,POL,2015,non-eu,382636
benchmark,POL,2020,eu,179561
benchmark,POL,2020,native,36043169
benchmark,POL,2020,non-eu,375205
benchmark,POL,2025,eu,158460
benchmark,POL,2025,native,35499870
benchmark,POL,2025,non-eu,370495
benchmark,POL,2030,eu,140592
benchmark,POL,2030,native,34792312
benchmark,POL,2030,non-eu,375303
benchmark,POL,2035,eu,126047
benchmark,POL,2035,native,33956021
benchmark,POL,2035,non-eu,387484
benchmark,POL,2040,eu,114104
benchmark,POL,2040,native,33027425
benchmark,POL,2040,non-eu,405660
benchmark,POL,2045,eu,104894
benchmark,POL,2045,native,32025432
benchmark,POL,2045,non-eu,429666
benchmark,POL,2050,eu,97451
benchmark,POL,2050,native,30973726
benchmark,POL,2050,non-eu,457786
benchmark,PRT,2015,eu,197624
benchmark,PRT,2015,native,9509432
benchmark,PRT,2015,non-eu,626966
benchmark,PRT,2020,eu,199179
benchmark,PRT,2020,native,9279825
benchmark,PRT,2020,non-eu,728740
benchmark,PRT,2025,eu,198124
benchmark,PRT,2025,native,9012208
benchmark,PRT,2025,non-eu,840137
benchmark,PRT,2030,eu,194604
benchmark,PRT,2030,native,8753563
benchmark,PRT,2030,non-eu,975831
benchmark,PRT,2035,eu,189321
benchmark,PRT,2035,native,8502990
benchmark,PRT,2035,non-eu,1140743
benchmark,PRT,2040,eu,182378
benchmark,PRT,2040,native,8252828
benchmark,PRT,2040,non-eu,1339042
benchmark,PRT,2045,eu,174293
benchmark,PRT,2045,native,7997370
benchmark,PRT,2045,non-eu,1577339
benchmark,PRT,2050,eu,165321
benchmark,PRT,2050,native,7740683
benchmark,PRT,2050,non-eu,1860426
benchmark,ROU,2015,eu,111159
benchmark,ROU,2015,native,19580027
benchmark,ROU,2015,non-eu,151349
benchmark,ROU,2020,eu,112413
benchmark,ROU,2020,native,18950413
benchmark,ROU,2020,non-eu,186861
benchmark,ROU,2025,eu,112587
benchmark,ROU,2025,native,18326978
benchmark,ROU,2025,non-eu,207636
benchmark,ROU,2030,eu,111306
benchmark,ROU,2030,native,17754328
benchmark,ROU,2030,non-eu,226608
benchmark,ROU,2035,eu,109467
benchmark,ROU,2035,native,17199764
benchmark,ROU,2035,non-eu,245154
benchmark,ROU,2040,eu,106382
benchmark,ROU,2040,native,16630537
benchmark,ROU,2040,non-eu,263144
benchmark,ROU,2045,eu,102461
benchmark,ROU,2045,native,16037958
benchmark,ROU,2045,non-eu,282206
benchmark,ROU,2050,eu,96918
benchmark,ROU,2050,native,15424240
benchmark,ROU,2050,non-eu,302686
benchmark,SVK,2015,eu,142429
benchmark,SVK,2015,native,5130214
benchmark,SVK,2015,non-eu,27960
benchmark,SVK,2020,eu,135150
benchmark,SVK,2020,native,5130978
benchmark,SVK,2020,non-eu,58529
benchmark,SVK,2025,eu,126474
benchmark,SVK,2025,native,5105019
benchmark,SVK,2025,non-eu,76249
benchmark,SVK,2030,eu,117074
benchmark,SVK,2030,native,5046993
benchmark,SVK,2030,non-eu,96490
benchmark,SVK,2035,eu,108020
benchmark,SVK,2035,native,4963754
benchmark,SVK,2035,non-eu,120031
benchmark,SVK,2040,eu,99242
benchmark,SVK,2040,native,4866747
benchmark,SVK,2040,non-eu,146789
benchmark,SVK,2045,eu,91106
benchmark,SVK,2045,native,4762472
benchmark,SVK,2045,non-eu,177713
benchmark,SVK,2050,eu,83461
benchmark,SVK,2050,native,4651580
benchmark,SVK,2050,non-eu,213387
benchmark,SVN,2015,eu,65363
benchmark,SVN,2015,native,1825257
benchmark,SVN,2015,non-eu,151429
benchmark,SVN,2020,eu,65455
benchmark,SVN,2020,native,1827489
benchmark,SVN,2020,non-eu,187641
benchmark,SVN,2025,eu,64153
benchmark,SVN,2025,native,1818682
benchmark,SVN,2025,non-eu,208563
benchmark,SVN,2030,eu,62050
benchmark,SVN,2030,native,1801353
benchmark,SVN,2030,non-eu,230385
benchmark,SVN,2035,eu,59946
benchmark,SVN,2035,native,1781189
benchmark,SVN,2035,non-eu,253580
