scenario,dest,year,age,nativity,pop
benchmark,BEL,2020,10,native,598734
benchmark,BEL,2020,10,non-eu,41556
benchmark,BEL,2020,15,eu,36594
benchmark,BEL,2020,15,native,809962
benchmark,BEL,2020,15,non-eu,46624
benchmark,BEL,2020,20,eu,33054
benchmark,BEL,2020,20,native,466702
benchmark,BEL,2020,20,non-eu,55640
benchmark,BEL,2020,25,eu,47340
benchmark,BEL,2020,25,native,530938
benchmark,BEL,2020,25,non-eu,66312
benchmark,BEL,2020,30,eu,64351
benchmark,BEL,2020,30,native,547198
benchmark,BEL,2020,30,non-eu,85941
benchmark,BEL,2020,35,eu,64123
benchmark,BEL,2020,35,native,535948
benchmark,BEL,2020,35,non-eu,100438
benchmark,BEL,2020,40,eu,63150
benchmark,BEL,2020,40,native,548152
benchmark,BEL,2020,40,non-eu,99535
benchmark,BEL,2020,45,eu,64004
benchmark,BEL,2020,45,native,582281
benchmark,BEL,2020,45,non-eu,95044
benchmark,BEL,2020,50,eu,63913
benchmark,BEL,2020,50,native,614475
benchmark,BEL,2020,50,non-eu,81922
benchmark,BEL,2020,55,eu,61929
benchmark,BEL,2020,55,native,615768
benchmark,BEL,2020,55,non-eu,69775
benchmark,BEL,2020,60,eu,56448
benchmark,BEL,2020,60,native,551356
benchmark,BEL,2020,60,non-eu,59311
benchmark,BEL,2020,65,eu,50940
benchmark,BEL,2020,65,native,482651
benchmark,BEL,2020,65,non-eu,42236
benchmark,BEL,2020,70,eu,47664
benchmark,BEL,2020,70,native,407309
benchmark,BEL,2020,70,non-eu,25112
benchmark,BEL,2020,75,eu,31845
benchmark,BEL,2020,75,native,292075
benchmark,BEL,2020,75,non-eu,16017
benchmark,BEL,2020,80,eu,21252
benchmark,BEL,2020,80,native,244681
benchmark,BEL,2020,80,non-eu,10703
benchmark,BEL,2020,85,eu,13550
benchmark,BEL,2020,85,native,159401
benchmark,BEL,2020,85,non-eu,5637
benchmark,BEL,2020,90,eu,6478
benchmark,BEL,2020,90,native,66982
benchmark,BEL,2020,90,non-eu,2615
benchmark,BEL,2020,95,eu,1851
benchmark,BEL,2020,95,native,16439
benchmark,BEL,2020,95,non-eu,1805
benchmark,BEL,2020,100,eu,413
benchmark,BEL,2020,100,native,1247
benchmark,BEL,2020,100,non-eu,1696
benchmark,BEL,2025,0,eu,6434
benchmark,BEL,2025,0,native,604381
benchmark,BEL,2025,0,non-eu,30313
benchmark,BEL,2025,5,eu,10870
benchmark,BEL,2025,5,native,602822
benchmark,BEL,2025,5,non-eu,57086
benchmark,BEL,2025,10,eu,25117
benchmark,BEL,2025,10,native,614514
benchmark,BEL,2025,10,non-eu,62524
benchmark,BEL,2025,15,eu,37868
benchmark,BEL,2025,15,native,596556
benchmark,BEL,2025,15,non-eu,66273
benchmark,BEL,2025,20,eu,39059
benchmark,BEL,2025,20,native,805865
benchmark,BEL,2025,20,non-eu,67582
benchmark,BEL,2025,25,eu,35666
benchmark,BEL,2025,25,native,464837
benchmark,BEL,2025,25,non-eu,73652
benchmark,BEL,2025,30,eu,48631
benchmark,BEL,2025,30,native,528582
benchmark,BEL,2025,30,non-eu,82078
benchmark,BEL,2025,35,eu,62814
benchmark,BEL,2025,35,native,544878
benchmark,BEL,2025,35,non-eu,98861
benchmark,BEL,2025,40,eu,62776
benchmark,BEL,2025,40,native,533705
benchmark,BEL,2025,40,non-eu,108723
benchmark,BEL,2025,45,eu,62290
benchmark,BEL,2025,45,native,544875
benchmark,BEL,2025,45,non-eu,104254
benchmark,BEL,2025,50,eu,63351
benchmark,BEL,2025,50,native,576464
benchmark,BEL,2025,50,non-eu,97475
benchmark,BEL,2025,55,eu,62927
benchmark,BEL,2025,55,native,603767
benchmark,BEL,2025,55,non-eu,83885
benchmark,BEL,2025,60,eu,60018
benchmark,BEL,2025,60,native,597772
benchmark,BEL,2025,60,non-eu,71288
benchmark,BEL,2025,65,eu,54245
benchmark,BEL,2025,65,native,526892
benchmark,BEL,2025,65,non-eu,59288
benchmark,BEL,2025,70,eu,47964
benchmark,BEL,2025,70,native,450894
benchmark,BEL,2025,70,non-eu,41803
benchmark,BEL,2025,75,eu,39811
benchmark,BEL,2025,75,native,366309
benchmark,BEL,2025,75,non-eu,22072
benchmark,BEL,2025,80,eu,24857
benchmark,BEL,2025,80,native,240953
benchmark,BEL,2025,80,non-eu,13293
benchmark,BEL,2025,85,eu,14311
benchmark,BEL,2025,85,native,170547
benchmark,BEL,2025,85,non-eu,7764
