scenario,dest,year,edu,pop
benchmark,GRC,2045,3,934959
benchmark,GRC,2045,4,953670
benchmark,GRC,2045,5,3451543
benchmark,GRC,2045,6,4326263
benchmark,GRC,2050,1,113996
benchmark,GRC,2050,2,109452
benchmark,GRC,2050,3,775899
benchmark,GRC,2050,4,880575
benchmark,GRC,2050,5,3389024
benchmark,GRC,2050,6,4515255
benchmark,HRV,2015,1,629166
benchmark,HRV,2015,2,53197
benchmark,HRV,2015,3,78663
benchmark,HRV,2015,4,982363
benchmark,HRV,2015,5,1795254
benchmark,HRV,2015,6,639627
benchmark,HRV,2020,1,427865
benchmark,HRV,2020,2,40945
benchmark,HRV,2020,3,70636
benchmark,HRV,2020,4,838166
benchmark,HRV,2020,5,1944618
benchmark,HRV,2020,6,763958
benchmark,HRV,2025,1,217838
benchmark,HRV,2025,2,32899
benchmark,HRV,2025,3,63440
benchmark,HRV,2025,4,743324
benchmark,HRV,2025,5,2068428
benchmark,HRV,2025,6,841791
benchmark,HRV,2030,1,18202
benchmark,HRV,2030,2,27561
benchmark,HRV,2030,3,55385
benchmark,HRV,2030,4,650659
benchmark,HRV,2030,5,2167102
benchmark,HRV,2030,6,940286
benchmark,HRV,2035,1,15868
benchmark,HRV,2035,2,24378
benchmark,HRV,2035,3,48003
benchmark,HRV,2035,4,552615
benchmark,HRV,2035,5,2126830
benchmark,HRV,2035,6,984543
benchmark,HRV,2040,1,17207
benchmark,HRV,2040,2,23170
benchmark,HRV,2040,3,43009
benchmark,HRV,2040,4,470032
benchmark,HRV,2040,5,2065351
benchmark,HRV,2040,6,1027419
benchmark,HRV,2045,1,18411
benchmark,HRV,2045,2,23528
benchmark,HRV,2045,3,40136
benchmark,HRV,2045,4,400706
benchmark,HRV,2045,5,1989090
benchmark,HRV,2045,6,1073039
benchmark,HRV,2050,1,19940
benchmark,HRV,2050,2,24350
benchmark,HRV,2050,3,38493
benchmark,HRV,2050,4,342352
benchmark,HRV,2050,5,1905402
benchmark,HRV,2050,6,1120645
benchmark,HUN,2015,1,1427902
benchmark,HUN,2015,2,53073
benchmark,HUN,2015,3,107239
benchmark,HUN,2015,4,2555672
benchmark,HUN,2015,5,3873941
benchmark,HUN,2015,6,1798468
benchmark,HUN,2020,1,959736
benchmark,HUN,2020,2,44879
benchmark,HUN,2020,3,102779
benchmark,HUN,2020,4,2146390
benchmark,HUN,2020,5,4206562
benchmark,HUN,2020,6,2130226
benchmark,HUN,2025,1,468558
benchmark,HUN,2025,2,41263
benchmark,HUN,2025,3,97062
benchmark,HUN,2025,4,1918934
benchmark,HUN,2025,5,4332633
benchmark,HUN,2025,6,2466043
benchmark,HUN,2030,1,22127
benchmark,HUN,2030,2,37768
benchmark,HUN,2030,3,86132
benchmark,HUN,2030,4,1647975
benchmark,HUN,2030,5,4463210
benchmark,HUN,2030,6,2796811
benchmark,HUN,2035,1,21049
benchmark,HUN,2035,2,34083
benchmark,HUN,2035,3,76554
benchmark,HUN,2035,4,1372884
benchmark,HUN,2035,5,4326816
benchmark,HUN,2035,6,2944588
benchmark,HUN,2040,1,22752
benchmark,HUN,2040,2,31843
benchmark,HUN,2040,3,69520
benchmark,HUN,2040,4,1155446
benchmark,HUN,2040,5,4149099
benchmark,HUN,2040,6,3067472
benchmark,HUN,2045,1,24290
benchmark,HUN,2045,2,30878
benchmark,HUN,2045,3,65490
benchmark,HUN,2045,4,980315
benchmark,HUN,2045,5,3942936
benchmark,HUN,2045,6,3177200
benchmark,HUN,2050,1,25921
benchmark,HUN,2050,2,30440
benchmark,HUN,2050,3,63108
benchmark,HUN,2050,4,837650
benchmark,HUN,2050,5,3724614
benchmark,HUN,2050,6,3275811
benchmark,IRL,2015,1,972907
benchmark,IRL,2015,2,62451
benchmark,IRL,2015,3,494985
benchmark,IRL,2015,4,744402
benchmark,IRL,2015,5,1070138
benchmark,IRL,2015,6,1146179
benchmark,IRL,2020,1,692040
benchmark,IRL,2020,2,64662
benchmark,IRL,2020,3,454206
benchmark,IRL,2020,4,769206
benchmark,IRL,2020,5,1221556
benchmark,IRL,2020,6,1593061
benchmark,IRL,2025,1,376700
benchmark,IRL,2025,2,66787
benchmark,IRL,2025,3,467453
benchmark,IRL,2025,4,799419
benchmark,IRL,2025,5,1407510
benchmark,IRL,2025,6,1960766
benchmark,IRL,2030,1,58718
benchmark,IRL,2030,2,70920
benchmark,IRL,2030,3,434059
benchmark,IRL,2030,4,806069
benchmark,IRL,2030,5,1586710
benchmark,IRL,2030,6,2402219
benchmark,IRL,2035,1,65906
benchmark,IRL,2035,2,72835
benchmark,IRL,2035,3,398629
benchmark,IRL,2035,4,779400
benchmark,IRL,2035,5,1645428
benchmark,IRL,2035,6,2684470
benchmark,IRL,2040,1,81314
benchmark,IRL,2040,2,76561
benchmark,IRL,2040,3,358710
benchmark,IRL,2040,4,736911
benchmark,IRL,2040,5,1717025
benchmark,IRL,2040,6,2988191
benchmark,IRL,2045,1,95655
benchmark,IRL,2045,2,82587
benchmark,IRL,2045,3,330548
benchmark,IRL,2045,4,701722
benchmark,IRL,2045,5,1774746
benchmark,IRL,2045,6,3317868
benchmark,IRL,2050,1,109419
benchmark,IRL,2050,2,90362
benchmark,IRL,2050,3,317128
benchmark,IRL,2050,4,676418
benchmark,IRL,2050,5,1837594
benchmark,IRL,2050,6,3653219
benchmark,ITA,2015,1,8391907
benchmark,ITA,2015,2,2512988
benchmark,ITA,2015,3,9865218
benchmark,ITA,2015,4,14821592
benchmark,ITA,2015,5,16460423
benchmark,ITA,2015,6,8437988
benchmark,ITA,2020,1,5922178
benchmark,ITA,2020,2,1967483
benchmark,ITA,2020,3,8308726
benchmark,ITA,2020,4,15089012
benchmark,ITA,2020,5,18996217
benchmark,ITA,2020,6,10045483
benchmark,ITA,2025,1,3192133
benchmark,ITA,2025,2,1556824
benchmark,ITA,2025,3,6904172
benchmark,ITA,2025,4,15170555
benchmark,ITA,2025,5,21731905
benchmark,ITA,2025,6,11371269
benchmark,ITA,2030,1,510539
benchmark,ITA,2030,2,1234792
benchmark,ITA,2030,3,5591059
benchmark,ITA,2030,4,14820282
benchmark,ITA,2030,5,24135962
benchmark,ITA,2030,6,13131929
benchmark,ITA,2035,1,511967
benchmark,ITA,2035,2,974813
benchmark,ITA,2035,3,4347432
benchmark,ITA,2035,4,13766651
benchmark,ITA,2035,5,25114713
benchmark,ITA,2035,6,14204725
