scenario,dest,year,sex,nativity,pop
benchmark,DNK,2040,m,native,2547593
benchmark,DNK,2040,m,non-eu,380532
benchmark,DNK,2045,f,eu,83569
benchmark,DNK,2045,f,native,2587441
benchmark,DNK,2045,f,non-eu,501718
benchmark,DNK,2045,m,eu,93192
benchmark,DNK,2045,m,native,2575863
benchmark,DNK,2045,m,non-eu,446643
benchmark,DNK,2050,f,eu,78953
benchmark,DNK,2050,f,native,2617195
benchmark,DNK,2050,f,non-eu,586377
benchmark,DNK,2050,m,eu,88099
benchmark,DNK,2050,m,native,2611519
benchmark,DNK,2050,m,non-eu,524346
benchmark,ESP,2015,f,eu,953443
benchmark,ESP,2015,f,native,20446009
benchmark,ESP,2015,f,non-eu,1952117
benchmark,ESP,2015,m,eu,926230
benchmark,ESP,2015,m,native,19759574
benchmark,ESP,2015,m,non-eu,1845021
benchmark,ESP,2020,f,eu,965847
benchmark,ESP,2020,f,native,20392527
benchmark,ESP,2020,f,non-eu,2187558
benchmark,ESP,2020,m,eu,925517
benchmark,ESP,2020,m,native,19750491
benchmark,ESP,2020,m,non-eu,2131639
benchmark,ESP,2025,f,eu,959664
benchmark,ESP,2025,f,native,20207015
benchmark,ESP,2025,f,non-eu,2450065
benchmark,ESP,2025,m,eu,908884
benchmark,ESP,2025,m,native,19599215
benchmark,ESP,2025,m,non-eu,2446174
benchmark,ESP,2030,f,eu,937121
benchmark,ESP,2030,f,native,19967324
benchmark,ESP,2030,f,non-eu,2733950
benchmark,ESP,2030,m,eu,877876
benchmark,ESP,2030,m,native,19372950
benchmark,ESP,2030,m,non-eu,2782693
benchmark,ESP,2035,f,eu,903260
benchmark,ESP,2035,f,native,19724551
benchmark,ESP,2035,f,non-eu,3012663
benchmark,ESP,2035,m,eu,838520
benchmark,ESP,2035,m,native,19124291
benchmark,ESP,2035,m,non-eu,3110044
benchmark,ESP,2040,f,eu,860513
benchmark,ESP,2040,f,native,19505700
benchmark,ESP,2040,f,non-eu,3266555
benchmark,ESP,2040,m,eu,793503
benchmark,ESP,2040,m,native,18895659
benchmark,ESP,2040,m,non-eu,3408339
benchmark,ESP,2045,f,eu,810798
benchmark,ESP,2045,f,native,19286325
benchmark,ESP,2045,f,non-eu,3487715
benchmark,ESP,2045,m,eu,744225
benchmark,ESP,2045,m,native,18672750
benchmark,ESP,2045,m,non-eu,3672278
benchmark,ESP,2050,f,eu,757184
benchmark,ESP,2050,f,native,19014584
benchmark,ESP,2050,f,non-eu,3675090
benchmark,ESP,2050,m,eu,692609
benchmark,ESP,2050,m,native,18403606
benchmark,ESP,2050,m,non-eu,3903247
benchmark,EST,2015,f,eu,7659
benchmark,EST,2015,f,native,580506
benchmark,EST,2015,f,non-eu,104138
benchmark,EST,2015,m,eu,9528
benchmark,EST,2015,m,native,526959
benchmark,EST,2015,m,non-eu,67252
benchmark,EST,2020,f,eu,9343
benchmark,EST,2020,f,native,577305
benchmark,EST,2020,f,non-eu,112308
benchmark,EST,2020,m,eu,10766
benchmark,EST,2020,m,native,525923
benchmark,EST,2020,m,non-eu,80645
benchmark,EST,2025,f,eu,10210
benchmark,EST,2025,f,native,573610
benchmark,EST,2025,f,non-eu,113584
benchmark,EST,2025,m,eu,11318
benchmark,EST,2025,m,native,525339
benchmark,EST,2025,m,non-eu,88052
benchmark,EST,2030,f,eu,10672
benchmark,EST,2030,f,native,568370
benchmark,EST,2030,f,non-eu,116670
benchmark,EST,2030,m,eu,11676
benchmark,EST,2030,m,native,523183
benchmark,EST,2030,m,non-eu,97163
benchmark,EST,2035,f,eu,11098
benchmark,EST,2035,f,native,563215
benchmark,EST,2035,f,non-eu,121005
benchmark,EST,2035,m,eu,12074
benchmark,EST,2035,m,native,520515
benchmark,EST,2035,m,non-eu,107674
benchmark,EST,2040,f,eu,11366
benchmark,EST,2040,f,native,559801
benchmark,EST,2040,f,non-eu,126306
benchmark,EST,2040,m,eu,12327
benchmark,EST,2040,m,native,519093
benchmark,EST,2040,m,non-eu,119797
benchmark,EST,2045,f,eu,11612
benchmark,EST,2045,f,native,557963
benchmark,EST,2045,f,non-eu,133009
benchmark,EST,2045,m,eu,12595
benchmark,EST,2045,m,native,518976
benchmark,EST,2045,m,non-eu,134409
benchmark,EST,2050,f,eu,11721
benchmark,EST,2050,f,native,556673
benchmark,EST,2050,f,non-eu,141458
benchmark,EST,2050,m,eu,12770
benchmark,EST,2050,m,native,519267
benchmark,EST,2050,m,non-eu,151917
benchmark,FIN,2015,f,eu,50595
benchmark,FIN,2015,f,native,2621192
benchmark,FIN,2015,f,non-eu,62464
benchmark,FIN,2015,m,eu,58154
benchmark,FIN,2015,m,native,2528589
benchmark,FIN,2015,m,non-eu,69835
benchmark,FIN,2020,f,eu,52847
benchmark,FIN,2020,f,native,2635465
benchmark,FIN,2020,f,non-eu,86855
benchmark,FIN,2020,m,eu,60109
benchmark,FIN,2020,m,native,2549224
